Name;Country;lat;lon;Description
Musée Picasso; France;48.86426;2.3612;Museum
Musée des Arts asiatiques-Guimet; France;48.86512;2.29376;Museum
Musées des châteaux de Malmaison et de Bois-Préau; France;48.865815;2.176077;Museum
Grand Palais; France;48.86616135;2.3122229353846153;Monument or Site
Chapelle expiatoire; France;48.87369815;2.3227584064109164;Monument or Site
Arc de triomphe de l'Étoile; France;48.8737791;2.295037226037673;Monument or Site
Musée d’archéologie nationale; France;48.897896;2.095621;Museum
château de Saint-Germain-en-Laye; France;48.897904499999996;2.09560349002016;Monument or Site
Basilique cathédrale de Saint-Denis; France;48.935773;2.3580232;Monument or Site
Château de Maisons-Laffitte; France;48.9472262;2.153903669969626;Monument or Site
Village de Giverny; France;49.0769091;1.5297337950055376;Monument or Site
National Gallery; Czech Republic;49.18720315;16.61618214998997;Museum
Abbaye du Bec-Hellouin; France;49.227716799999996;0.7215579305023938;Monument or Site
Palais du Tau; France;49.25326235;4.034537210053816;Monument or Site
cathédrale de Reims; France;49.2535616;4.033298;Monument or Site
Musée de la Tapisserie de Bayeux; France;49.2744127;-0.6999384;Museum
Paris Musée national de la Renaissance; France;49.27759;1.776486;Museum
Villa Savoye; France;49.29381;3.64118;Monument or Site
Château de Pierrefonds; France;49.304416;2.819644;Monument or Site
Ruben Sevak Museum at the Mother See Holy of Etchmiadzin; Armenia;49.388951;-119.921214;Museum
Musée du Quai Branly; France;49.4403166;1.1397405;Museum
Blérancourt; France;49.5171443;3.1517532;Monument or Site
Château de Coucy; France;49.5218263;3.3185631651794254;Monument or Site
Fondation Le Corbusier (Maison La Roche and Le Corbusier's Apartment-studio); France;49.577593;-1.30295;Museum
cathédrale d'Amiens; France;49.894622;2.3020286071428666;Monument or Site
Spanish Synagogue; Czech Republic;50.0903589;14.420847326686296;Monument or Site
Villa Cavrois; France;50.670378;3.155395;Monument or Site
Colonne de la Grande Armée Wimille; France;50.74126135;1.6174436736237119;Monument or Site
Pillnitz palace; Germany;51.00876375;13.868871661951381;Monument or Site
Zagreb Museum of Arts and Crafts; Croatia;51.012424;-0.928498;Museum
Prachinburi National Maritime Museum; Thailand;51.48077585;-0.005122450776572108;Museum
Tate Britain; United Kingdom;51.4911182;-0.12781878350367853;Monument or Site
Royal Academy of Arts; United Kingdom;51.5092768;-0.13973813543557267;Monument or Site
The Palace Armoury; Malta;51.510363;4.289304;Monument or Site
Historical & Cultural Preservation of “Lori Berd”; Armenia;51.605198;-3.3386660499999996;Museum
“Zorac Qarer” Historical & Cultural Reserve; Armenia;51.605198;-3.3386660499999996;Monument or Site
“Zorac Qarer” Historical & Cultural Reserve; Armenia;51.605198;-3.3386660499999996;Monument or Site
The Johnston Collection; Australia;51.753407;-4.997452;Monument or Site
Iwami Ginzan World Heritage Center Iwami Ginzan Silver Mine Museum; Japan;51.77308455;-3.087570210987924;Museum
British Museum; United Kingdom;51.9462814;-0.2757955;Museum
Nin Museum of Antiquities; Croatia;52.1306261;-106.6327705;Museum
Anne Frank House; Netherlands;52.3455675;4.9002337;Monument or Site
Van Gogh Museum; Netherlands;52.35836725;4.88108997215221;Museum
Rijksmuseum Amsterdam; Netherlands;52.3598431;4.8850394507194235;Museum
Museum Het Schip (Amsterdamse School); Netherlands;52.3904885;4.8737264;Museum
Palaces and Parks of Potsdam; Germany;52.4047203;13.0834523;Monument or Site
Bauhaus Archiv; Germany;52.5062015;13.35301526250954;Museum
Mir Castle; Belarus;53.451196949999996;26.473281674676514;Monument or Site
Imperial War Museums; United Kingdom;53.468622;-2.296864;Museum
Gokayama Folk Museum; Japan;54.072080799999995;-1.997321400374891;Museum
National Gallery; Lithuania;54.6854603;25.2759272;Museum
Royal Elephant National Museum; Thailand;54.690607;-1.207205;Museum
Royal Elephant National Museum; Thailand;54.690607;-1.207205;Museum
The bastion of Vilnius (Barbican); Lithuania;54.734317;25.336654;Monument or Site
Mark Rothko Museum; Latvia;55.8838439;26.4974499;Museum
Beleura House & Garden; Australia;56.655247;-111.324534;Monument or Site
